Tanggal,Aceh,Bali,Banten,Babel,Bengkulu,DIY,Jakarta,Jambi,Jabar,Jateng,Jatim,Kalbar,Kaltim,Kalteng,Kalsel,Kaltara,Kep Riau,NTB,Sumsel,Sumbar,Sulut,Sumut,Sultra,Sulsel,Sulteng,Lampung,Riau,Malut,Maluku,Papbar,Papua,Sulbar,NTT,Gorontalo,?
21-Mar,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22-Mar,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23-Mar,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25-Mar,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-Mar,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-Mar,0,0,0,0,0,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-Mar,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-Mar,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30-Mar,0,0,0,0,0,0,3,0,2,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31-Mar,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-Apr,0,10,5,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0
2-Apr,0,0,0,0,0,0,2,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-Apr,0,0,0,0,0,0,0,0,1,11,3,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0
4-Apr,0,0,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0
5-Apr,0,8,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6-Apr,0,0,0,0,0,0,9,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
7-Apr,0,0,0,0,0,0,0,0,4,0,3,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
8-Apr,0,0,0,0,0,5,5,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9-Apr,1,0,0,0,0,0,12,0,2,4,3,0,2,0,0,0,0,2,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0
10-Apr,0,1,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,6,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0
11-Apr,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12-Apr,0,0,0,0,0,0,60,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0
13-Apr,3,1,0,0,0,0,0,0,3,0,5,0,0,1,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0
14-Apr,0,1,0,0,0,12,21,0,1,0,3,2,0,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
15-Apr,0,2,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0
16-Apr,0,9,0,0,0,4,38,0,5,0,5,0,4,0,3,1,3,0,1,0,3,2,3,0,0,7,4,0,0,0,10,0,0,0,0
17-Apr,0,4,2,0,0,3,2,0,13,17,8,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,4,0,0,0,0,0,0,0,0
18-Apr,0,0,0,0,0,1,1,0,0,8,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0
19-Apr,0,2,0,0,0,1,29,0,4,7,2,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20-Apr,0,4,8,1,0,1,0,1,7,0,0,0,0,1,3,0,0,0,0,0,0,1,0,20,0,0,0,0,4,0,10,0,0,0,0
21-Apr,0,0,0,1,1,2,56,0,19,0,2,1,0,0,0,0,2,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0
22-Apr,0,5,12,0,0,0,36,0,4,3,1,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0
23-Apr,0,8,0,0,0,2,4,0,8,0,11,0,0,0,0,0,0,2,0,3,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0
24-Apr,0,0,4,0,0,4,1,0,3,4,16,0,0,0,1,0,1,2,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0
25-Apr,0,15,0,0,0,0,7,0,3,0,5,0,0,0,0,0,0,5,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
26-Apr,0,5,0,0,0,0,1,0,0,14,5,0,0,0,0,0,0,0,13,0,6,0,1,17,0,0,1,0,1,0,0,0,1,0,0
27-Apr,0,6,0,0,0,1,2,0,3,16,2,0,1,1,0,0,0,2,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
28-Apr,0,7,0,0,0,2,26,0,7,1,4,0,0,1,6,0,2,2,4,1,0,14,0,2,5,0,1,1,1,0,15,1,0,0,0
29-Apr,0,8,0,0,0,1,77,0,4,12,8,0,0,0,4,0,0,0,0,0,3,5,1,10,0,1,0,0,0,0,0,1,0,2,0
30-Apr,0,17,1,0,0,3,46,0,36,1,5,0,0,0,0,2,0,7,1,1,0,1,3,4,0,2,1,0,0,0,0,0,0,0,0
1-May,0,8,0,2,0,1,2,0,2,10,5,1,1,0,3,1,4,0,6,5,0,0,1,13,3,0,0,0,0,0,1,0,0,0,0
2-May,2,8,0,0,0,4,25,0,2,0,3,0,0,0,1,0,7,1,0,0,3,0,0,10,0,0,7,0,0,0,0,1,0,0,0
3-May,0,22,0,0,0,1,120,0,4,0,9,0,0,4,0,0,20,4,7,5,0,0,0,6,0,4,3,2,0,0,0,0,0,0,0
4-May,1,8,0,0,0,1,1,0,6,0,4,0,0,0,0,0,0,0,7,2,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0
5-May,0,1,83,0,0,2,72,0,8,20,2,0,0,0,0,1,4,10,4,1,0,0,4,29,1,0,1,0,0,0,0,0,0,0,0
6-May,0,6,5,0,0,1,37,0,10,13,19,0,0,0,0,0,11,7,0,0,0,2,0,7,0,1,1,0,0,0,0,0,0,0,0
7-May,0,17,0,0,0,4,4,0,5,0,7,3,0,0,0,0,6,4,0,3,0,5,0,3,0,0,0,0,0,0,0,1,0,2,0
8-May,4,12,0,2,0,2,0,0,2,16,9,1,0,14,0,0,4,23,2,5,0,0,0,13,0,0,0,0,0,0,0,0,0,4,0
9-May,0,2,0,0,0,0,7,0,18,12,12,0,18,1,0,0,0,7,0,8,0,0,0,9,0,3,10,3,0,0,0,0,0,3,0
10-May,0,7,0,0,0,1,51,2,0,0,3,0,3,0,0,1,1,5,6,2,0,0,1,5,0,0,1,0,0,2,0,0,0,0,0
11-May,0,6,24,1,0,1,9,0,11,56,14,0,3,0,0,0,4,13,9,11,0,0,0,11,1,1,7,0,0,0,0,0,0,1,0
12-May,1,5,7,0,0,2,112,0,0,0,14,8,4,0,0,0,0,0,0,3,9,0,0,7,0,0,3,0,5,0,0,2,0,0,0
13-May,0,5,4,0,0,5,102,0,24,0,16,2,5,0,0,7,5,9,9,13,0,5,1,5,7,0,0,0,0,0,0,0,0,0,0
14-May,1,3,1,0,0,0,136,0,5,0,4,0,11,10,0,6,0,24,0,3,4,0,0,5,1,0,0,3,0,0,0,13,0,1,0
15-May,0,9,0,0,0,3,114,0,17,5,16,0,4,47,0,3,0,50,0,2,0,0,7,0,0,4,1,0,0,0,0,2,0,1,0
